Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
7343,328457,2,12,6,6,6,0,0,0,0,0,36.53446265,6.089077109,328457,0,328457,328457,328457,328457,0,328457,328457,0,0,0,0,0,40,0,6.089077109,0,6,6,6,0,0,0,0,1,9,12,468,-1,1,20,0,0,0,0,0,0
7343,4,2,12,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,1,9,12,468,-1,1,20,0,0,0,0,0,0
53,30775,1,53,53,53,53,0,110,110,110,0,5296.506905,64.98781478,30775,0,30775,30775,0,0,0,0,0,0,0,0,0,0,32,32,32.49390739,32.49390739,53,110,72,32.90896534,1083,0,0,0,108,53,-1,-1,0,32,0,0,0,0,0,0
5355,420862,26,1092,42,42,42,0,0,0,0,0,2594.674739,61.77796998,16834.48,84165.52501,420829,1,420862,16834.48,84165.52501,420829,1,0,0,0,0,0,676,0,61.77796998,0,42,42,42,0,0,0,0,0,43.61538462,1092,-1,-1,25,20,0,0,0,0,0,0
443,110756659,36,12524,1061,6,347.8888889,490.3898028,677,6,229.6666667,320.7993587,187.7268616,0.65007378,1559952.944,3553537.275,9812453,1950,111000000,3164475.971,4558166.763,9812453,1950,111000000,3157810.514,4719162.033,10000000,2047,720,720,0.32503689,0.32503689,6,1061,284.9041096,414.1465174,171517.3379,0,0,1,288.8611111,12524,63563,33227,35,20,247885.8182,251001,230009,9799082.273,9812453,9794581
80,671,2,8,6,2,4,2.828427125,2,2,2,0,14903.12966,4470.938897,335.5,296.2777413,545,126,671,671,0,671,671,0,0,0,0,0,44,24,2980.625931,1490.312966,2,6,3,2,4,0,1,0,4,8,1024,29200,1,20,0,0,0,0,0,0
443,102,1,2,2,2,2,0,6,6,6,0,78431.37255,19607.84314,102,0,102,102,0,0,0,0,0,0,0,0,0,0,24,20,9803.921569,9803.921569,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5,2,1024,0,0,24,0,0,0,0,0,0
22,591,2,8,6,2,4,2.828427125,2,2,2,0,16920.47377,5076.142132,295.5,260.9224023,480,111,591,591,0,591,591,0,0,0,0,0,44,24,3384.094755,1692.047377,2,6,3,2,4,0,1,0,4,8,1024,29200,1,20,0,0,0,0,0,0
21,593,2,8,6,2,4,2.828427125,2,2,2,0,16863.40641,5059.021922,296.5,327.3904397,528,65,593,593,0,593,593,0,0,0,0,0,44,24,3372.681282,1686.340641,2,6,3,2,4,0,1,0,4,8,1024,29200,1,20,0,0,0,0,0,0
443,94,1,2,2,2,2,0,6,6,6,0,85106.38298,21276.59574,94,0,94,94,0,0,0,0,0,0,0,0,0,0,24,20,10638.29787,10638.29787,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5,2,1024,0,0,24,0,0,0,0,0,0
139,61,3,4,4,0,1.333333333,2.309401077,4,4,4,0,131147.541,65573.77049,20.33333333,30.022214,55,3,61,30.5,38.89087297,58,3,0,0,0,0,0,96,32,49180.32787,16393.44262,0,4,2.4,2.19089023,4.8,0,0,1,3,4,302,302,0,32,0,0,0,0,0,0
443,97,1,2,2,2,2,0,6,6,6,0,82474.2268,20618.5567,97,0,97,97,0,0,0,0,0,0,0,0,0,0,24,20,10309.27835,10309.27835,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5,2,1024,0,0,24,0,0,0,0,0,0
123,94480,1,48,48,48,48,0,48,48,48,0,1016.088061,21.16850127,94480,0,94480,94480,0,0,0,0,0,0,0,0,0,0,20,20,10.58425064,10.58425064,48,48,48,0,0,0,0,0,72,48,-1,-1,0,20,0,0,0,0,0,0
80,225,2,12,6,6,6,0,0,0,0,0,53333.33333,8888.888889,225,0,225,225,225,225,0,225,225,0,0,0,0,0,40,0,8888.888889,0,6,6,6,0,0,0,0,1,9,12,256,-1,1,20,0,0,0,0,0,0
444,124,1,2,2,2,2,0,6,6,6,0,64516.12903,16129.03226,124,0,124,124,0,0,0,0,0,0,0,0,0,0,24,20,8064.516129,8064.516129,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5,2,1024,0,0,24,0,0,0,0,0,0
443,89,1,2,2,2,2,0,6,6,6,0,89887.64045,22471.91011,89,0,89,89,0,0,0,0,0,0,0,0,0,0,24,20,11235.95506,11235.95506,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5,2,1024,0,0,24,0,0,0,0,0,0
443,71,2,12,6,6,6,0,0,0,0,0,169014.0845,28169.01408,71,0,71,71,71,71,0,71,71,0,0,0,0,0,40,0,28169.01408,0,6,6,6,0,0,0,0,1,9,12,254,-1,1,20,0,0,0,0,0,0
443,176,2,12,6,6,6,0,0,0,0,0,68181.81818,11363.63636,176,0,176,176,176,176,0,176,176,0,0,0,0,0,40,0,11363.63636,0,6,6,6,0,0,0,0,1,9,12,254,-1,1,20,0,0,0,0,0,0
55357,213907,1,6,6,6,6,0,6,6,6,0,84.14871884,14.02478647,106953.5,151177.3085,213852,55,0,0,0,0,0,213852,213852,0,213852,213852,20,40,4.674928824,9.349857648,6,6,6,0,0,0,0,1,8,6,62,254,0,20,0,0,0,0,0,0
443,67,2,12,6,6,6,0,0,0,0,0,179104.4776,29850.74627,67,0,67,67,67,67,0,67,67,0,0,0,0,0,40,0,29850.74627,0,6,6,6,0,0,0,0,1,9,12,254,-1,1,20,0,0,0,0,0,0
137,116164289,78,3900,50,50,50,0,0,0,0,0,33.57314054,0.671462811,1508627.13,12900000,113000000,1,116000000,1508627.13,12900000,113000000,1,0,0,0,0,0,1872,0,0.671462811,0,50,50,50,0,0,0,0,0,50.64102564,3900,-1,-1,77,20,1592856,1592856,1592856,113000000,113000000,113000000
80,818,2,8,6,2,4,2.828427125,2,2,2,0,12224.93888,3667.481663,409,444.0630586,723,95,818,818,0,818,818,0,0,0,0,0,44,24,2444.987775,1222.493888,2,6,3,2,4,0,1,0,4,8,1024,29200,1,20,0,0,0,0,0,0
444,121,1,2,2,2,2,0,6,6,6,0,66115.70248,16528.92562,121,0,121,121,0,0,0,0,0,0,0,0,0,0,24,20,8264.46281,8264.46281,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5,2,1024,0,0,24,0,0,0,0,0,0
443,71,1,2,2,2,2,0,6,6,6,0,112676.0563,28169.01408,71,0,71,71,0,0,0,0,0,0,0,0,0,0,24,20,14084.50704,14084.50704,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5,2,1024,0,0,24,0,0,0,0,0,0
55364,47,1,6,6,6,6,0,6,6,6,0,255319.1489,42553.19149,47,0,47,47,0,0,0,0,0,0,0,0,0,0,20,20,21276.59574,21276.59574,6,6,6,0,0,0,0,1,9,6,114,252,0,20,0,0,0,0,0,0
22,625,2,8,6,2,4,2.828427125,2,2,2,0,16000,4800,312.5,249.6086938,489,136,625,625,0,625,625,0,0,0,0,0,44,24,3200,1600,2,6,3,2,4,0,1,0,4,8,1024,29200,1,20,0,0,0,0,0,0
21,648,2,8,6,2,4,2.828427125,2,2,2,0,15432.09877,4629.62963,324,360.6244584,579,69,648,648,0,648,648,0,0,0,0,0,44,24,3086.419753,1543.209877,2,6,3,2,4,0,1,0,4,8,1024,29200,1,20,0,0,0,0,0,0
7489,97,1,6,6,6,6,0,6,6,6,0,123711.3402,20618.5567,97,0,97,97,0,0,0,0,0,0,0,0,0,0,20,20,10309.27835,10309.27835,6,6,6,0,0,0,0,1,9,6,946,255,0,20,0,0,0,0,0,0
5679,4,3,43,31,6,14.33333333,14.43375673,0,0,0,0,10800000,750000,2,1.414213562,3,1,4,2,1.414213562,3,1,0,0,0,0,0,60,0,750000,0,6,31,12.25,12.5,156.25,0,0,1,16.33333333,43,1375,-1,2,20,0,0,0,0,0,0
5679,57,1,6,6,6,6,0,6,6,6,0,210526.3158,35087.7193,57,0,57,57,0,0,0,0,0,0,0,0,0,0,20,20,17543.85965,17543.85965,6,6,6,0,0,0,0,1,9,6,1375,0,0,20,0,0,0,0,0,0
22,699,2,8,6,2,4,2.828427125,2,2,2,0,14306.15165,4291.845494,349.5,318.9051583,575,124,699,699,0,699,699,0,0,0,0,0,44,24,2861.230329,1430.615165,2,6,3,2,4,0,1,0,4,8,1024,29200,1,20,0,0,0,0,0,0
21,740,2,8,6,2,4,2.828427125,2,2,2,0,13513.51351,4054.054054,370,292.7422074,577,163,740,740,0,740,740,0,0,0,0,0,44,24,2702.702703,1351.351351,2,6,3,2,4,0,1,0,4,8,1024,29200,1,20,0,0,0,0,0,0
80,598,2,8,6,2,4,2.828427125,2,2,2,0,16722.40803,5016.722408,299,244.6589463,472,126,598,598,0,598,598,0,0,0,0,0,44,24,3344.481605,1672.240803,2,6,3,2,4,0,1,0,4,8,1024,29200,1,20,0,0,0,0,0,0
443,54,1,2,2,2,2,0,6,6,6,0,148148.1481,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,24,20,18518.51852,18518.51852,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5,2,1024,0,0,24,0,0,0,0,0,0
3869,89,1,0,0,0,0,0,6,6,6,0,67415.73034,22471.91011,89,0,89,89,0,0,0,0,0,0,0,0,0,0,40,20,11235.95506,11235.95506,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
2022,104,1,0,0,0,0,0,6,6,6,0,57692.30769,19230.76923,104,0,104,104,0,0,0,0,0,0,0,0,0,0,40,20,9615.384615,9615.384615,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
179,59,1,0,0,0,0,0,6,6,6,0,101694.9153,33898.30508,59,0,59,59,0,0,0,0,0,0,0,0,0,0,40,20,16949.15254,16949.15254,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
800,103,1,0,0,0,0,0,6,6,6,0,58252.42718,19417.47573,103,0,103,103,0,0,0,0,0,0,0,0,0,0,40,20,9708.737864,9708.737864,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
2170,38,1,0,0,0,0,0,6,6,6,0,157894.7368,52631.57895,38,0,38,38,0,0,0,0,0,0,0,0,0,0,40,20,26315.78947,26315.78947,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
100,65,1,0,0,0,0,0,6,6,6,0,92307.69231,30769.23077,65,0,65,65,0,0,0,0,0,0,0,0,0,0,40,20,15384.61538,15384.61538,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
1121,44,1,0,0,0,0,0,6,6,6,0,136363.6364,45454.54545,44,0,44,44,0,0,0,0,0,0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
1059,49,1,0,0,0,0,0,6,6,6,0,122448.9796,40816.32653,49,0,49,49,0,0,0,0,0,0,0,0,0,0,40,20,20408.16327,20408.16327,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
749,51,1,0,0,0,0,0,6,6,6,0,117647.0588,39215.68627,51,0,51,51,0,0,0,0,0,0,0,0,0,0,40,20,19607.84314,19607.84314,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
5904,4,1,0,0,0,0,0,6,6,6,0,1500000,500000,4,0,4,4,0,0,0,0,0,0,0,0,0,0,40,20,250000,250000,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
1600,52,1,0,0,0,0,0,6,6,6,0,115384.6154,38461.53846,52,0,52,52,0,0,0,0,0,0,0,0,0,0,40,20,19230.76923,19230.76923,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
85,19,1,0,0,0,0,0,6,6,6,0,315789.4737,105263.1579,19,0,19,19,0,0,0,0,0,0,0,0,0,0,40,20,52631.57895,52631.57895,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
57240,1,2,12,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,1,9,12,4844,-1,1,20,0,0,0,0,0,0
443,365888,5,763,480,0,152.6,204.7432539,287,2,67.85714286,107.9960317,3383.549064,32.79692146,33262.54545,56361.16888,121251,4,243881,60970.25,70097.44734,121990,206,244637,40772.83333,62459.45601,121492,4,112,144,13.66538394,19.13153752,0,480,95.23076923,149.5627816,22369.02564,0,1,0,103.1666667,763,8192,31088,4,20,0,0,0,0,0,0
57240,1000446,2,12,6,6,6,0,0,0,0,0,11.99465039,1.999108398,1000446,0,1000446,1000446,1000446,1000446,0,1000446,1000446,0,0,0,0,0,40,0,1.999108398,0,6,6,6,0,0,0,0,1,9,12,4844,-1,1,20,0,0,0,0,0,0
443,77432255,20,1547,251,6,77.35,83.47598142,80,6,40.35483871,30.38041956,36.13481229,0.658640253,1548645.1,6680973.138,36800000,1,77400000,4071329,10500000,36800000,500,77400000,2579863.533,8545822.607,36900000,1,400,620,0.258290295,0.400349958,6,251,54.69230769,58.8785851,3466.687783,0,0,1,55.76470588,1547,254,444,19,20,412779,576113,87813,25200000,36800000,9423529
80,15188,1,6,6,6,6,0,6,6,6,0,790.0974454,131.6829076,15188,0,15188,15188,0,0,0,0,0,0,0,0,0,0,20,20,65.84145378,65.84145378,6,6,6,0,0,0,0,1,9,6,2304,40,0,20,0,0,0,0,0,0
80,14997,1,6,6,6,6,0,6,6,6,0,800.160032,133.3600053,14997,0,14997,14997,0,0,0,0,0,0,0,0,0,0,20,20,66.68000267,66.68000267,6,6,6,0,0,0,0,1,9,6,1794,42,0,20,0,0,0,0,0,0
80,15199,1,6,6,6,6,0,6,6,6,0,789.5256267,131.5876044,15199,0,15199,15199,0,0,0,0,0,0,0,0,0,0,20,20,65.79380222,65.79380222,6,6,6,0,0,0,0,1,9,6,3630,49,0,20,0,0,0,0,0,0
